,FDT_TIME,FSTR_LOOPGROUPID,FINT_VOLUME,FINT_SPEED,FINT_OCCUPY
10827,2010/4/20 12:08,NHNX40(1),9,34,24
10828,2010/4/20 12:09,NHNX40(1),10,33,25
10829,2010/4/20 12:09,NHNX40(1),9,34,24
10830,2010/4/20 12:09,NHNX40(1),9,33,24
10831,2010/4/20 12:10,NHNX40(1),9,33,24
10832,2010/4/20 12:10,NHNX40(1),9,33,24
10833,2010/4/20 12:10,NHNX40(1),9,33,24
10834,2010/4/20 12:11,NHNX40(1),9,33,24
10835,2010/4/20 12:11,NHNX40(1),9,33,24
10836,2010/4/20 12:11,NHNX40(1),9,33,24
10837,2010/4/20 12:12,NHNX40(1),9,33,24
10838,2010/4/20 12:12,NHNX40(1),9,33,24
10839,2010/4/20 12:12,NHNX40(1),9,33,24
10840,2010/4/20 12:13,NHNX40(1),9,33,24
10841,2010/4/20 12:13,NHNX40(1),9,33,24
10842,2010/4/20 12:13,NHNX40(1),9,33,24
10843,2010/4/20 12:14,NHNX40(1),9,33,24
10844,2010/4/20 12:14,NHNX40(1),9,33,24
10845,2010/4/20 12:14,NHNX40(1),9,33,24
10846,2010/4/20 12:15,NHNX40(1),9,33,24
10847,2010/4/20 12:15,NHNX40(1),9,33,24
10848,2010/4/20 12:15,NHNX40(1),9,33,24
10849,2010/4/20 12:16,NHNX40(1),9,33,24
10850,2010/4/20 12:16,NHNX40(1),9,33,24
10851,2010/4/20 12:16,NHNX40(1),9,33,24
10852,2010/4/20 12:17,NHNX40(1),9,33,24
10853,2010/4/20 12:17,NHNX40(1),9,33,24
10854,2010/4/20 12:17,NHNX40(1),9,33,24
10855,2010/4/20 12:18,NHNX40(1),9,33,24
10856,2010/4/20 12:18,NHNX40(1),9,33,24
10857,2010/4/20 12:18,NHNX40(1),9,33,24
10858,2010/4/20 12:19,NHNX40(1),9,33,24
10859,2010/4/20 12:19,NHNX40(1),9,33,24
10860,2010/4/20 12:19,NHNX40(1),9,33,24
10861,2010/4/20 12:20,NHNX40(1),9,33,24
10862,2010/4/20 12:20,NHNX40(1),9,33,24
10863,2010/4/20 12:20,NHNX40(1),9,33,24
10864,2010/4/20 12:21,NHNX40(1),9,33,24
10865,2010/4/20 12:21,NHNX40(1),9,33,24
10866,2010/4/20 12:21,NHNX40(1),9,33,24
10867,2010/4/20 12:22,NHNX40(1),9,33,24
10868,2010/4/20 12:22,NHNX40(1),9,33,24
10869,2010/4/20 12:22,NHNX40(1),9,33,24
10870,2010/4/20 12:23,NHNX40(1),9,33,24
10871,2010/4/20 12:23,NHNX40(1),9,33,24
10872,2010/4/20 12:23,NHNX40(1),9,33,24
12543,2010/4/20 21:40,NHNX40(1),6,64,10
12544,2010/4/20 21:41,NHNX40(1),5,71,7
19290,2010/4/22 11:09,NHNX40(1),11,36,27
19291,2010/4/22 11:10,NHNX40(1),12,36,28
19292,2010/4/22 11:10,NHNX40(1),12,35,29
24541,2010/4/23 16:20,NHNX40(1),11,40,23
24542,2010/4/23 16:20,NHNX40(1),11,41,22
24543,2010/4/23 16:20,NHNX40(1),11,41,22
24544,2010/4/23 16:21,NHNX40(1),11,40,22
24545,2010/4/23 16:21,NHNX40(1),11,40,22
28544,2010/4/24 14:34,NHNX40(1),10,36,24
28545,2010/4/24 14:34,NHNX40(1),10,38,23
